No,ID,Scenario,Mode,Choice,Gender,Age,Marital,Nationality,Career1,Career,Education,VehOwner,VehOwner1,CarOwner,DrLicense,IndMotor,Hmotor,IndCar,Hcar,Hmem,Hinc,Hinc1,AirClass,AccTraveler,Partysize,TripPose1,TripPose,HandBag,CheckBag,TripDuration,TimeTraveled,TripOrigin,Distance,Samemode,TravelCost,InVehTime,Timesaving,NoTransfer, Userfriendly,Reasonable,Punctual,Safety,Comfort, Rapid, Convenience,Accessible,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT,Weacon_MT,Weacon_Car,Weacon_Taxi,Weacon_Bus,Weacon_VCAT,FlightCheck_MT,FlightCheck_Car,FlightCheck_Taxi,FlightCheck_Bus,FlightCheck_VCAT,SP_TripMT,SP_TripCar,SP_TripTaxi,SP_TripBus,SP_TripVCAT,SP_LugMT,SP_LugCar,SP_LugTaxi,SP_LugBus,SP_LugVCAT,SP_AccMT,SP_AccCar,SP_AccTaxi,SP_AccBus,SP_AccVCAT, ITC , PF ,TTC,IVT,AC,WT,STM,NF,DL,WC,FS,TPS,NLG,AT
1,1,S6,Bus,4,1,2,1,1,1,1,2,1,1,1,1,0,0,1,4,4,6,7,1,0,4,3,4,1,0,5,1,0,15,2,2,1,5,5,5,5,5,5,5,5,5,5,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,155,155,155,155,155,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"19,000",0,155,30,15,20,90,11,0,1,0,0,0,1
2,1,S8,Motorbike,1,1,2,1,1,1,1,2,1,1,1,1,0,0,1,4,4,6,7,1,0,4,3,4,1,0,5,1,0,15,2,2,1,5,5,5,5,5,5,5,5,5,5,21500,21500,21500,21500,21500,16500,16500,16500,16500,16500,110,110,110,110,110,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,"16,500","5,000",110,20,0,0,90,0,0,0,0,1,0,1
3,2,S5,VCAT,5,0,2,1,1,2,2,2,1,1,1,1,1,5,1,2,5,6,8,1,0,3,3,4,2,0,5,1,2,5,2,4,2,5,5,5,5,5,5,4,5,4,4,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"29,000",0,83,18,10,15,40,1,0,1,1,0,1,0
4,2,S7,VCAT,5,0,2,1,1,2,2,2,1,1,1,1,1,5,1,2,5,6,8,1,0,3,3,4,2,0,5,1,2,5,2,4,2,5,5,5,5,5,5,4,5,4,4,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"34,000",0,98,18,10,20,50,1,0,0,1,1,1,1
5,3,S2,Taxi,3,0,5,1,1,1,1,3,1,1,1,1,0,0,1,1,1,4,5,1,0,4,3,4,2,0,5,2,2,10,0,3,1,5,4,4,5,5,5,4,4,3,5,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,145,145,145,145,145,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"66,000",0,145,25,0,0,120,0,0,1,0,0,0,1
6,3,S4,Car,2,0,5,1,1,1,1,3,1,1,1,1,0,0,1,1,1,4,5,1,0,4,3,4,2,0,5,2,2,10,0,3,1,5,4,4,5,5,5,4,4,3,5,52000,52000,52000,52000,52000,52000,42000,42000,42000,42000,145,145,145,145,145,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,120,120,10000,10000,10000,10000,10000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"42,000","10,000",145,25,0,0,120,0,0,1,0,1,0,0
7,4,S5,Bus,4,0,5,0,1,6,0,1,1,1,0,1,0,1,0,1,4,6,8,1,4,5,1,1,4,0,2,5,1,6,0,4,2,4,4,5,5,5,5,5,4,4,5,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,185,185,185,185,185,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"19,000",0,185,30,15,20,120,11,0,1,0,0,1,0
8,4,S7,Bus,4,0,5,0,1,6,0,1,1,1,0,1,0,1,0,1,4,6,8,1,4,5,1,1,4,0,2,5,1,6,0,4,2,4,4,5,5,5,5,5,4,4,5,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,165,165,165,165,165,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"19,000",0,165,30,15,20,90,11,10,0,0,1,1,1
9,5,S6,Car,2,1,4,0,1,2,2,3,1,1,1,1,0,5,1,2,2,6,8,1,1,3,3,4,1,0,1,5,2,7,2,6,2,5,5,5,5,5,5,5,5,3,3,52000,52000,52000,52000,52000,52000,42000,42000,42000,42000,155,155,155,155,155,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,120,120,120,120,120,10000,10000,10000,10000,10000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"42,000","10,000",155,25,0,0,120,0,10,1,0,0,0,1
10,5,S8,Car,2,1,4,0,1,2,2,3,1,1,1,1,0,5,1,2,2,6,8,1,1,3,3,4,1,0,1,5,2,7,2,6,2,5,5,5,5,5,5,5,5,3,3,52000,52000,52000,52000,52000,52000,42000,42000,42000,42000,155,155,155,155,155,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,120,120,120,120,120,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"42,000","10,000",155,25,0,0,120,0,10,0,0,1,0,0
