,,,,,,,,,TCost,TCost,TCost,TCost,TCost,Cost,Cost,Cost,Cost,Cost,Park,Park,Park,Park,Park,TTime,TTime,TTime,TTime,TTime,VehTime,VehTime,VehTime,VehTime,VehTime,AccTime,AccTime,AccTime,AccTime,AccTime,WTime,WTime,WTime,WTime,WTime,SafeTime,SafeTime,SafeTime,SafeTime,SafeTime,Trans,Trans,Trans,Trans,Trans,Delay,Delay,Delay,Delay,Delay,WC,WC,WC,WC,WC,ChkIn,ChkIn,ChkIn,ChkIn,ChkIn,,,,,,,,,,,,,,,
,,,,,,,,,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,,,,,,,,,,,,,,,
,,,,,,2,3,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Scenarios,ScenarioNumber,GroupID,IndID,MODE,TripPur_SP,ChkLug,Accomp,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,TTime_MT,TTime_Car,TTime_Taxi,TTime_Bus,TTime_VCAT,VehTime_MT,VehTime_Car,VehTime_Taxi,VehTime_Bus,VehTime_VCAT,AccTime_MT,AccTime_Car,AccTime_Taxi,AccTime_Bus,AccTime_VCAT,WTime_MT,WTime_Car,WTime_Taxi,WTime_Bus,WTime_VCAT,SafeTime_MT,SafeTime_Car,SafeTime_Taxi,SafeTime_Bus,SafeTime_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChkIn_MT,ChkIn_Car,ChkIn_Taxi,ChkIn_Bus,ChkIn_VCAT,Gender,Age,Married,Nat,Resident,Job,Edu,Veh_Own,DrL,Ind_MT,HH_MT,Ind_Car,HH_car,MODE_Main,CarB_Fu
1,S6,6,4,1,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Thailand,foreigner,Government official,Bachelor,yes,car,0,0,1,4,Private car,none
2,S8,8,4,1,motorbike,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Thailand,foreigner,Government official,Bachelor,yes,car,0,0,1,4,Private car,none
3,S5,5,3,2,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Thailand,foreigner,Businessperson,Bachelor,yes,both,1,5,1,2,Private car,5 – 10
4,S7,7,3,2,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,single,Thailand,foreigner,Businessperson,Bachelor,yes,both,1,5,1,2,Private car,5 – 10
5,S2,2,2,3,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,Thailand,foreigner,Government official,master/doctor,yes,car,0,0,1,1,Private car,none
6,S4,4,2,3,car,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,Thailand,foreigner,Government official,master/doctor,yes,car,0,0,1,1,Private car,none
7,S5,5,3,4,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,Singapore,foreigner,Retired/Unemployed,college,yes,both,0,1,0,1,Motorbike,above 10
