No,ID,Scenario,Mode,Choice,Nationality,Vientiane,Gender,Mar,Age,Job,Edu,Hinc,Hcar,Hmem,Carown,AirClass,Dependency,WeaCon,Tpp,ChLug,Accom,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT
1,1,S6,Bus,4,3,3,1,0,2,1,3,3,3,4,1,1,0,0,1,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,10,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
2,1,S8,Car,1,3,3,1,0,2,1,3,3,3,4,1,1,0,0,0,0,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
3,2,S7,VCAT,5,3,3,0,0,2,2,3,3,2,5,1,1,0,1,0,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,15,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
4,2,S7,VCAT,5,3,3,0,0,2,2,3,3,2,5,1,1,0,0,0,1,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
5,3,S2,Taxi,3,3,3,0,0,5,1,4,2,1,1,1,1,0,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
6,3,S4,Car,2,3,3,0,0,5,1,4,2,1,1,1,1,0,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
7,4,S6,Bus,4,3,3,0,1,5,5,2,3,1,4,1,1,1,1,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,10,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
8,4,S6,Bus,4,3,3,0,1,5,5,2,3,1,4,1,1,1,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,10,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
9,5,S6,Car,2,3,3,1,1,4,2,4,3,2,2,1,1,1,1,1,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,10,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
10,5,S8,Car,2,3,3,1,1,4,2,4,3,2,2,1,1,1,0,0,0,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
11,6,S7,VCAT,5,3,3,0,1,5,4,4,2,3,4,1,1,1,1,0,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,15,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
12,6,S7,VCAT,5,3,3,0,0,5,4,4,2,3,4,1,1,1,0,0,1,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
