No,ID,MODE,Choice,Gender,Nat,Age,Job,Edu,Hinc,Hcar,DEP,TPP,LUG,ACCM,WCON,DMale,DFemale,Dvien,DNVien,DFNer,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Acctime_MT,Acctime_Car,Acctime_Taxi,Acctime_Bus,Acctime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChIn_MT,ChIn_Car,ChIn_Taxi,ChIn_Bus,ChIn_VCAT
1,1,Airport Bus,4,1,3,2,1,3,7,1,2,1,2,2,1,1,0,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
2,1,Motorbike,1,1,3,2,1,3,7,1,2,2,2,1,2,1,0,0,0,1,16500,0,0,0,0,5000,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
3,2,Airport Limousine Bus,5,2,3,2,2,3,8,1,2,1,1,1,1,0,1,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,2,Airport Limousine Bus,5,2,3,2,2,3,8,1,2,2,1,2,2,0,1,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
5,3,Taxi,3,2,3,5,1,4,5,1,2,1,2,2,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
6,3,Private Car,2,2,3,5,1,4,5,1,2,2,2,1,1,0,1,0,0,1,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
7,4,Airport Bus,4,2,3,5,8,2,8,1,1,1,1,1,1,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
8,4,Airport Bus,4,2,3,5,8,2,8,1,1,2,1,2,2,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
9,5,Private Car,2,1,3,4,2,4,8,1,1,1,2,2,1,1,0,0,0,1,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
10,5,Private Car,2,1,3,4,2,4,8,1,1,2,2,1,2,1,0,0,0,1,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
